,链家ID,建筑年代,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数,附近门店
21,5020022738940853,2005年建成 ,板楼,4元/平米/月,大飞物业,上海奉贤正阳置业有限公司,18栋,342户,正阳世纪星城店/上海市奉贤区南奉公路8889弄77号2层、79号1层及2层
22,5020022737898975,2005年建成 ,板楼,1.09至4元/平米/月,大飞物业,上海奉贤正阳置业有限公司,41栋,476户,正阳世纪星城店/上海市奉贤区南奉公路8889弄77号2层、79号1层及2层
23,5011102206734,2012年建成 ,板楼,0.4元/平米/月,暂无信息,暂无信息,60栋,1514户,暂无门店信息
24,5011000004909,2010年建成 ,塔楼/板楼/塔板结合,1.45至1.98元/平米/月,深圳市开元国际物业管理有限公司,上海弘晔房地产发展有限公司,215栋,3369户,恒盛湖畔豪庭店/上海市奉贤区泽丰路88弄124号1层
25,509821540057563,2014年建成 ,板楼,暂无信息,上海正阳物业公司,上海正阳置业有限公司,2栋,124户,正阳二店/上海市奉贤区南港路1564号
26,5020022738940997,2010年建成 ,板楼,1.28至4元/平米/月,上海陆家嘴物业管理有限公司,上海奉贤正阳置业有限公司,9栋,605户,正阳二店/上海市奉贤区南港路1564号
27,5020022737899050,2005年建成 ,板楼,1.09至1.57元/平米/月,大飞物业,上海奉贤正阳置业有限公司,41栋,807户,正阳世纪星城店/上海市奉贤区南奉公路8889弄77号2层、79号1层及2层
28,5020022738941175,2007年建成 ,板楼,1.09至2元/平米/月,上海陆家嘴物业管理有限公司,上海奉贤正阳置业有限公司,56栋,840户,正阳二店/上海市奉贤区南港路1564号
29,5020022737899435,2007年建成 ,板楼,1.57至4元/平米/月,上海陆家嘴物业管理有限公司,上海奉贤正阳置业有限公司,31栋,341户,育秀总店/上海市奉贤区南桥镇环城东路1585号、1587号
30,5020022738941149,2007年建成 ,板楼,0.8至4元/平米/月,上海陆家嘴物业管理有限公司,上海奉贤正阳置业有限公司,48栋,836户,正阳二店/上海市奉贤区南港路1564号
31,5011000002465,2001年建成 ,板楼,0.8元/平米/月,上海良友物业管理有限公司,上海建都房地产开发有限公司,88栋,988户,古华一店/上海市奉贤区环城东路1227号、1229号
32,5011000012816,2008年建成 ,板楼,2.98元/平米/月,上海欣周物业管理有限公司,绿城集团,1栋,442户,正阳世纪星城店/上海市奉贤区南奉公路8889弄77号2层、79号1层及2层
33,5011000001230,1993年建成 ,板楼,1.7元/平米/月,上海良友物业管理有限公司,暂无信息,28栋,277户,古华一店/上海市奉贤区环城东路1227号、1229号
34,5011000018558,1997年建成 ,板楼,1.2元/平米/月,上海帮众物业经营管理有限公司,上海绿地湾置业有限公司,100栋,1241户,古华一店/上海市奉贤区环城东路1227号、1229号
35,5011000002418,2009年建成 ,板楼,2.5元/平米/月,上海正阳物业公司,上海奉贤正阳置业有限公司,418栋,418户,正阳二店/上海市奉贤区南港路1564号
36,5011000001697,2012年建成 ,板楼,1.33元/平米/月,暂无信息,丽江金穗房地产开发有限公司,4栋,189户,正阳世纪星城店/上海市奉贤区南奉公路8889弄77号2层、79号1层及2层
37,5011063829713,2016年建成 ,板楼,2.5元/平米/月,北京金辉锦江物业服务有限公司,上海融辉房地产有限公司,22栋,874户,古华一店/上海市奉贤区环城东路1227号、1229号
38,5011102206836,暂无信息 ,板楼,2.8元/平米/月,重庆东原物业管理公司,上海长川房地产开发有限公司,61栋,878户,暂无门店信息
39,5012655493394010,2016年建成 ,板楼,暂无信息,暂无信息,暂无信息,14栋,672户,暂无门店信息
40,509821540319255,2016年建成 ,板楼,暂无信息,暂无信息,暂无信息,14栋,483户,暂无门店信息
41,5020023146992624,1997年建成 ,板楼,0.35至0.46元/平米/月,上海科瑞物业管理有限公司,上海城建集团,74栋,762户,育秀总店/上海市奉贤区南桥镇环城东路1585号、1587号
42,5011000003511,1997年建成 ,板楼,暂无信息,暂无信息,暂无信息,9栋,44户,暂无门店信息
43,5011000018653,1985年建成 ,板楼,0.3元/平米/月,暂无信息,上海南上海动拆迁置业有限公司,39栋,490户,古华一店/上海市奉贤区环城东路1227号、1229号
44,5011000004618,2009年建成 ,板楼,0.8元/平米/月,上海营巢物业管理有限公司,上海松磊房地产开发有限公司,52栋,746户,南桥新苑一店/上海市奉贤区环城东路883弄13号1-2层
45,5011102206888,1983年建成 ,板楼,0.5元/平米/月,暂无信息,暂无信息,23栋,540户,暂无门店信息
46,5011102206764,2013年建成 ,塔板结合,1.34元/平米/月,暂无信息,暂无信息,5栋,246户,暂无门店信息
47,5011000003331,1996年建成 ,板楼,0.46元/平米/月,上海科瑞物业管理发展有限公司,上海江海置业有限公司,139栋,1684户,育秀总店/上海市奉贤区南桥镇环城东路1585号、1587号
48,509821540319372,1997年建成 ,板楼,0.46至0.6元/平米/月,上海科瑞物业管理发展有限公司,上海江海置业有限公司,80栋,921户,育秀西区一店/上海市奉贤区南桥镇育秀路291、293号
49,5014554379358163,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,1户,育秀总店/上海市奉贤区南桥镇环城东路1585号、1587号
50,5011000019351,1993年建成 ,板楼,0.3至1.2元/平米/月,上海永佳物业管理有限公司,上海江海置业有限公司,49栋,604户,古华一店/上海市奉贤区环城东路1227号、1229号
51,5011000018670,1992年建成 ,板楼/平房,0.25至0.6元/平米/月,上海永佳物业管理有限公司,上海奉贤城乡建设投资开发有限公司,142栋,1594户,古华一店/上海市奉贤区环城东路1227号、1229号
52,5011000009228,1983年建成 ,板楼,0.28至0.8元/平米/月,上海良友物业管理有限公司,上海奉房置业有限公司,240栋,2929户,古华一店/上海市奉贤区环城东路1227号、1229号
53,5011102206752,1990年建成 ,板楼,1.2元/平米/月,上海永佳物业管理有限公司,上海南上海动拆迁置业有限公司,26栋,166户,古华一店/上海市奉贤区环城东路1227号、1229号
54,5011000000503,1999年建成 ,板楼,0.6元/平米/月,双泉物业,上海奉苑房地产开发有限公司,26栋,274户,新建路一店/上海市奉贤区南桥镇新建中路376号
55,5011000019423,2004年建成 ,板楼,0.61至1.2元/平米/月,上海良友物业管理有限公司,上海市奉贤区住宅建设总公司,54栋,613户,正阳二店/上海市奉贤区南港路1564号
56,5011000002097,1997年建成 ,板楼,0.3元/平米/月,上海良友物业管理有限公司,仁恒置业,17栋,146户,古华一店/上海市奉贤区环城东路1227号、1229号
57,5011000012440,2000年建成 ,板楼,5元/平米/月,暂无信息,暂无信息,24栋,27户,南桥新苑一店/上海市奉贤区环城东路883弄13号1-2层
58,5011000002902,暂无信息 ,板楼,0.5元/平米/月,暂无信息,暂无信息,30栋,90户,暂无门店信息
59,5011000012106,1992年建成 ,板楼,0.38至0.58元/平米/月,双泉物业,上海浦南物业管理有限公司,171栋,1894户,育秀总店/上海市奉贤区南桥镇环城东路1585号、1587号
60,5011102206658,1999年建成 ,板楼,暂无信息,上海浦南物业管理有限公司,上海浦南物业管理有限公司,32栋,373户,育秀总店/上海市奉贤区南桥镇环城东路1585号、1587号
61,5011000012867,2004年建成 ,板楼/塔板结合,0.85至1.5元/平米/月,绿地永绿物业管理有限公司,绿城集团,345栋,5298户,南桥新苑一店/上海市奉贤区环城东路883弄13号1-2层
62,5011000019727,2002年建成 ,塔楼/板楼,0.56至1.12元/平米/月,育秀物业,上海市奉贤区住宅建设总公司,66栋,753户,育秀总店/上海市奉贤区南桥镇环城东路1585号、1587号
63,5020023146987605,1995年建成 ,板楼,0.38至0.6元/平米/月,上海良友物业管理有限公司,上海南桥房地产有限公司,111栋,1225户,育秀西区一店/上海市奉贤区南桥镇育秀路291、293号
64,5011102207290,2003年建成 ,板楼,0.5元/平米/月,暂无信息,暂无信息,11栋,122户,南桥新苑一店/上海市奉贤区环城东路883弄13号1-2层
65,5020024346090650,1996年建成 ,板楼,0.46元/平米/月,上海科瑞物业管理有限公司,上海科瑞有限公司,51栋,589户,育秀西区一店/上海市奉贤区南桥镇育秀路291、293号
66,5011102206694,暂无信息 ,板楼,0.4元/平米/月,暂无信息,暂无信息,8栋,69户,新建路一店/上海市奉贤区南桥镇新建中路376号
67,5011000003097,1984年建成 ,板楼,0.3至1.2元/平米/月,自主物业,上海江海置业有限公司,104栋,1375户,新建路一店/上海市奉贤区南桥镇新建中路376号
68,5018043683506320,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,7栋,55户,暂无门店信息
69,5011000012144,2004年建成 ,板楼,1.2元/平米/月,上海畹町物业管理有限公司,上海齐安置业有限公司,7栋,60户,南桥新苑一店/上海市奉贤区环城东路883弄13号1-2层
70,5011000019114,2004年建成 ,板楼,0.5元/平米/月,上海良友物业管理有限公司,上海新发展房地产,9栋,108户,南桥新苑一店/上海市奉贤区环城东路883弄13号1-2层
71,5011000018576,2006年建成 ,板楼,1.6元/平米/月,亿阳物业,上海亿阳房地产公司,17栋,162户,育秀西区一店/上海市奉贤区南桥镇育秀路291、293号
72,5011000018650,1983年建成 ,板楼,0.4至0.6元/平米/月,大飞物业,暂无信息,16栋,205户,新建路一店/上海市奉贤区南桥镇新建中路376号
73,5011000009811,1997年建成 ,板楼,0.4元/平米/月,上海永佳物业管理公司,上海城建集团,57栋,631户,育秀西区一店/上海市奉贤区南桥镇育秀路291、293号
74,5011102207310,2002年建成 ,板楼,0.6元/平米/月,暂无信息,暂无信息,39栋,50户,南桥新苑一店/上海市奉贤区环城东路883弄13号1-2层
75,5011000010401,2010年建成 ,板楼,1.6元/平米/月,上海科瑞物业管理发展有限公司,绿城集团,16栋,1024户,解放西路店/上海市奉贤区南桥镇解放西路59号一层
76,5011102206857,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,4栋,363户,奉浦一店/上海市奉贤区环城东路515号101室
77,5011102206856,2009年建成 ,塔楼/板楼,6元/平米/月,暂无信息,暂无信息,2栋,616户,奉浦一店/上海市奉贤区环城东路515号101室
78,5011000001214,2014年建成 ,板楼,1.37元/平米/月,上海营巢物业管理有限公司,上海高屋置业有限公司,20栋,741户,南桥新苑一店/上海市奉贤区环城东路883弄13号1-2层
79,5020024300964939,1995年建成 ,板楼,0.25元/平米/月,大飞物业,上海江海置业有限公司,111栋,1286户,育秀西区一店/上海市奉贤区南桥镇育秀路291、293号
80,5020037262428084,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,3户,育秀西区一店/上海市奉贤区南桥镇育秀路291、293号
81,5011102206659,1994年建成 ,板楼,0.7元/平米/月,暂无信息,上海东上海联合置业有限公司,1栋,104户,育秀西区一店/上海市奉贤区南桥镇育秀路291、293号
82,5011000019468,1998年建成 ,板楼,0.96元/平米/月,金维邦物业,上海金维邦物业管理有限公司,60栋,244户,南桥新苑一店/上海市奉贤区环城东路883弄13号1-2层
83,5011102206730,1994年建成 ,板楼,1.2元/平米/月,育秀物业,青岛良友房地产开发有限公司,46栋,481户,新建路一店/上海市奉贤区南桥镇新建中路376号
84,5011063835896,2015年建成 ,板楼,2至2.4元/平米/月,上海中环陆家嘴物业管理有限公司,上海中环南城置业有限公司,75栋,1261户,新建路一店/上海市奉贤区南桥镇新建中路376号
85,5011000014463,1993年建成 ,板楼,1.2元/平米/月,上海奉房物业管理有限公司,上海贝申房地产有限公司,29栋,478户,江海一店/上海市奉贤区江海路308号
86,509977363956323,1998年建成 ,板楼,暂无信息,暂无信息,暂无信息,10栋,70户,新建路一店/上海市奉贤区南桥镇新建中路376号
87,509821540057371,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,3栋,28户,江海一店/上海市奉贤区江海路308号
88,5011000008795,1995年建成 ,板楼,0.45元/平米/月,上海长宜物业管理有限公司, 大理耀鹏房地产开发有限责任公司,15栋,182户,江海一店/上海市奉贤区江海路308号
89,5011000000622,2000年建成 ,板楼,0.5元/平米/月,上海永佳物业管理有限公司,上海城建集团,25栋,266户,江海一店/上海市奉贤区江海路308号
90,5011102206653,2002年建成 ,板楼,0.4元/平米/月,上海金杨物业,上海东湖房产,2栋,60户,江海一店/上海市奉贤区江海路308号
91,5011000019934,1985年建成 ,板楼,暂无信息,暂无信息,上海南上海动拆迁置业有限公司,21栋,209户,解放西路店/上海市奉贤区南桥镇解放西路59号一层
92,5011063832815,2012年建成 ,板楼,2.1至6元/平米/月,上海东湖物业管理有限公司,上海铭邦奉贤置业有限公司,13栋,382户,南桥新苑一店/上海市奉贤区环城东路883弄13号1-2层
93,5011000010787,1996年建成 ,板楼,0.55至1.1元/平米/月,上海昌悦物业管理有限公司,上海江海置业有限公司,225栋,2687户,江海花园店/上海市奉贤区南桥镇江南路181号
94,5011000004148,1984年建成 ,板楼,暂无信息,五四物业,暂无信息,11栋,88户,暂无门店信息
95,5011000002881,2001年建成 ,板楼,1.3元/平米/月,上海永佳物业管理有限公司,暂无信息,12栋,217户,解放西路店/上海市奉贤区南桥镇解放西路59号一层
96,5014079422925552,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,11栋,13户,江海一店/上海市奉贤区江海路308号
97,5011000002914,1998年建成 ,板楼,0.8元/平米/月,上海东方航空物业有限公司,上海东方金马房地产有限公司,99栋,746户,奉浦一店/上海市奉贤区环城东路515号101室
98,5011102206808,1983年建成 ,板楼,0.8元/平米/月,暂无信息,暂无信息,41栋,486户,暂无门店信息
99,5011102207011,1990年建成 ,板楼,暂无信息,民星物业, 广州吉高展览策划有限公司,17栋,124户,江海一店/上海市奉贤区江海路308号
100,5011000011937,2012年建成 ,塔楼/板楼,3.5元/平米/月,上海理想未来房地产有限公司,上海理想未来房地产有限公司,3栋,1269户,江海一店/上海市奉贤区江海路308号
101,5011000004160,2011年建成 ,板楼,1.92至5元/平米/月,中房物业,同盛南桥置业有限公司,13栋,664户,南桥新苑一店/上海市奉贤区环城东路883弄13号1-2层
102,5020036484143511,,,,,,,,
103,5011000003475,2006年建成 ,板楼,0.8元/平米/月,上海营巢物业管理有限公司,上海营巢房产开发有限公司,156栋,838户,南桥新苑一店/上海市奉贤区环城东路883弄13号1-2层
104,5011000011571,2006年建成 ,板楼,1.51元/平米/月,大至物业,上海绿庭集团有限公司,29栋,702户,奉浦一店/上海市奉贤区环城东路515号101室
105,5011000001586,2006年建成 ,板楼,1.51元/平米/月,大至物业,上海绿庭集团有限公司,192栋,192户,奉浦一店/上海市奉贤区环城东路515号101室
