链家ID,高德ID,高德名称,POI类型,坐标,距离,地址,链家名称,建筑年代,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数,附近门店
5020021681623520,B00156D6WV,绿地·望海新都,120302,"121.491335,30.916004",535,望园南路1588弄105号,绿地领御,2010年建成 ,塔楼/板楼,2元/平米/月,上海欣天物业管理有限公司,上海绿地集团,15,5743,暂无门店信息
5020022737897860,B001559E7Z,芳邻苑,120302,"121.478425,30.914159",903,南奉公路8889弄之81-102号,正阳世纪星城芳邻苑,2005年建成 ,板楼,0.75至4元/平米/月,上海陆家嘴物业管理有限公司,上海奉贤正阳置业有限公司,22,258,正阳世纪星城店/上海市奉贤区南奉公路8889弄77号2层、79号1层及2层
5020022737898970,B00155BVUE,行知苑,120302,"121.475069,30.912706",1261,南奉公路8889弄之150-160号、163-179号,正阳世纪星城行知苑,2005年建成 ,板楼,1.09至4元/平米/月,大飞物业,上海奉贤正阳置业有限公司,41,476,正阳世纪星城店/上海市奉贤区南奉公路8889弄77号2层、79号1层及2层
5020022737899010,B001557C9G,居礼苑(正环路),120302,"121.478839,30.912363",992,南奉公路8889弄之103-131号,正阳世纪星城居礼苑,2005年建成 ,板楼,1.09至4元/平米/月,大飞物业,上海奉贤正阳置业有限公司,29,481,正阳世纪星城店/上海市奉贤区南奉公路8889弄77号2层、79号1层及2层
5020022737899050,B001579AYN,正阳·世纪星城,120302,"121.477301,30.909376",1334,南桥镇南港路1469号,正阳世纪星城文华苑,2005年建成 ,板楼,1.09至1.57元/平米/月,大飞物业,上海奉贤正阳置业有限公司,41,807,正阳世纪星城店/上海市奉贤区南奉公路8889弄77号2层、79号1层及2层
5020022737899430,B001579AYN,正阳·世纪星城,120302,"121.477301,30.909376",1334,南桥镇南港路1469号,正阳世纪星城莱茵之恋,2007年建成 ,板楼,1.57至4元/平米/月,上海陆家嘴物业管理有限公司,上海奉贤正阳置业有限公司,31,341,育秀总店/上海市奉贤区南桥镇环城东路1585号、1587号
5020022738940850,B00155AS8O,名仕苑(正环路),120302,"121.476569,30.912146",1175,南奉公路8889弄之132-149号,正阳世纪星城名仕苑,2005年建成 ,板楼,4元/平米/月,大飞物业,上海奉贤正阳置业有限公司,18,342,正阳世纪星城店/上海市奉贤区南奉公路8889弄77号2层、79号1层及2层
5020022738940990,B001579AYN,正阳·世纪星城,120302,"121.477301,30.909376",1334,南桥镇南港路1469号,正阳世纪星城丽骏湾,2010年建成 ,板楼,1.28至4元/平米/月,上海陆家嘴物业管理有限公司,上海奉贤正阳置业有限公司,9,605,正阳二店/上海市奉贤区南港路1564号
5020022738941140,B001579AYN,正阳·世纪星城,120302,"121.477301,30.909376",1334,南桥镇南港路1469号,正阳世纪星城英伦风情,2007年建成 ,板楼,0.8至4元/平米/月,上海陆家嘴物业管理有限公司,上海奉贤正阳置业有限公司,48,836,正阳二店/上海市奉贤区南港路1564号
5020022738941170,B001579AYN,正阳·世纪星城,120302,"121.477301,30.909376",1334,南桥镇南港路1469号,正阳世纪星城米兰风尚,2007年建成 ,板楼,1.09至2元/平米/月,上海陆家嘴物业管理有限公司,上海奉贤正阳置业有限公司,56,840,正阳二店/上海市奉贤区南港路1564号
5020023146987600,B00155DIWE,育秀二区,120302,"121.465024,30.909938",2255,育秀路286号(古华南区801-930号),育秀二区,1995年建成 ,板楼,0.38至0.6元/平米/月,上海良友物业管理有限公司,上海南桥房地产有限公司,111,1225,育秀西区一店/上海市奉贤区南桥镇育秀路291、293号
5020023146992620,B0FFLOKH9K,育秀4区,120302,"121.471209,30.911973",1624,保贤路162号,育秀四区,1997年建成 ,板楼,0.35至0.46元/平米/月,上海科瑞物业管理有限公司,上海城建集团,74,762,育秀总店/上海市奉贤区南桥镇环城东路1585号、1587号
5020024300964930,B00155NESY,南桥镇育秀6区,120302,"121.463535,30.906397",2567,南桥镇,育秀五区,1995年建成 ,板楼,0.25元/平米/月,大飞物业,上海江海置业有限公司,111,1286,育秀西区一店/上海市奉贤区南桥镇育秀路291、293号
5020024346090650,B00155L4A1,育秀7区,120302,"121.466114,30.907783",2276,江海镇,育秀七区,1996年建成 ,板楼,0.46元/平米/月,上海科瑞物业管理有限公司,上海科瑞有限公司,51,589,育秀西区一店/上海市奉贤区南桥镇育秀路291、293号
